name,CAS,LF,Standard,Dyetype,class,properties
"Name:C.I.Acid Red 68,C.I.17920",CAS Registry Number:6369-40-0,3,ISO,AcidDye,Molecular Structure:  Single azo class,"Properties and Applications: red. Soluble in water and ethanol is red. The strong sulfuric acid for cherry red, diluted into orange red. In water solution to join strong hydrochloric acid for red; Add thick sodium hydroxide solution for palm orange."
"Name:C.I.Acid Red 66,C.I.26905",CAS Registry Number:4196-99-0,3-4,ISO,AcidDye,Molecular Structure:  Double azo class,"Properties and Applications: yellow light red. Soluble in water for orange red, slightly soluble in ethanol and soluble fiber element, insoluble in other organic solvents. In the dark for the strong sulfuric acid, diluted for orange red, then have a brown precipitation. In nitric acid solution for blue, then into amber color. In water solution to join strong hydrochloric acid have red precipitate; Add thick sodium hydroxide solution have yellow brown precipitation."
"Name:C.I.Acid Red 65,C.I.24830",CAS Registry Number:6459-71-8,3,ISO,AcidDye,Molecular Structure:  Double azo class,"Properties and Applications: yellow light red. Soluble in water for wine, not soluble in alcohol. The strong sulfuric acid for blu-ray red, diluted into red. In water solution to join hydrochloric acid discoloration; Add sodium hydroxide solution into deep red."
"Name:C.I.Acid Red 60,C.I.16645",CAS Registry Number:5850-64-6,,ISO,AcidDye,Molecular Structure:  Single azo class,"Properties and Applications: blue-ray red. Soluble in water for the red, slightly soluble in ethanol for pink. The strong sulfuric acid in blue, diluted into pink. In water solution to join strong hydrochloric acid for the red; Add thick sodium hydroxide solution into purple."
"Name:C.I.Acid Red 57,C.I.17053",CAS Registry Number:12217-34-4,4-5,ISO,AcidDye,Molecular Structure:  Single azo class,"Properties and Applications: colourful red blue light. Bright red powder blue. Soluble in water red, and 90 ° C of the water solubility of 70 g/L. The strong sulfuric acid is dark red. Used for wool, silk, polyamide fiber and its wool blended fabric dyeing, also can be used for leather color. High dye migration sex and permeability, suitable for piece dyed, has the high resistance to bask in fastness, suitable for decorative fabric and carpet."
"Name:C.I.Acid Red 54,C.I.17020",CAS Registry Number:6360-03-8,4,ISO,AcidDye,Molecular Structure:  Single azo class,Properties and Applications: yellow light red.
"Name:C.I.Acid Red 53,C.I.13055",CAS Registry Number:6245-61-0,3-4,ISO,AcidDye,Molecular Structure:  Single azo class,Properties and Applications: yellow light red. Soluble in water is red. The strong sulfuric acid for yellow orange brown.
"Name:C.I.Acid Red 52,C.I.45100",CAS Registry Number:3520-42-1,3-4,ISO,AcidDye,Molecular Structure:  Xanthene class,"Properties and Applications: bright blue light pink. Dark red light brown powder. Soluble in water, in blue light red, with fluorescence, also soluble in alcohol. The strong sulfuric acid dyes is orange, diluted for red, with sodium hydroxide solution is blue light red. Mainly used for wool, silk and polyamide fiber dyeing, also can be used for wool and a variety of fabric dyeing, still can be in wool and silk fabric printing directly, also can used for leather dyeing."
"Name:C.I.Acid Red 51,C.I.45430",CAS Registry Number:16423-68-0,3,ISO,AcidDye,Molecular Structure:  Xanthene class,"Properties and Applications:  blue light pink. Soluble in water is cherry red, no fluorescence. The strong sulfuric acid is palm in light yellow, diluted into palm yellow light precipitation. In water solution to join sodium hydroxide to create soluble red precipitate."
"Name:C.I.Acid Red 50,C.I.45220",CAS Registry Number:5873-16-5,2,ISO,AcidDye,Molecular Structure:  Xanthene class,Properties and Applications:  bright yellow peach.
"Name:C.I.Acid Red 47,C.I.27300",CAS Registry Number:6226-88-6,2-3,ISO,AcidDye,Molecular Structure:  Double azo class,"Properties and Applications: colourful red blue light. Soluble in water for product red, not soluble in alcohol. In the strong sulfuric acid as dark blue, diluted into product red. In water solution to join strong hydrochloric acid by product red to wine red; Add thick sodium hydroxide solution for dark brown."
"Name:C.I.Acid Red 44,C.I.16250",CAS Registry Number:2766-77-0,2-3,ISO,AcidDye,Molecular Structure:  Single azo class,"Properties and Applications:  red. Soluble in water for red, soluble in ethanol for yellow light red, almost insoluble in acetone. The strong sulfuric acid for red light blue, diluted for scarlet. In water solution to join hydrochloric acid colour and lustre is darker, and extra a flake crystallization precipitation part; Add thick sodium hydroxide solution for yellow brown."
"Name:C.I.Acid Red 42,C.I.17070",CAS Registry Number:6245-60-9,2,ISO,AcidDye,Molecular Structure:  Single azo class,"Properties and Applications: blue-ray red. Soluble in water for red, soluble in ethanol purplish red color. The strong sulfuric acid for dark purple, to orange diluted. In water solution to join strong hydrochloric acid have red brown precipitation; Add sodium hydroxide have purplish red precipitate"
"Name:C.I.Acid Red 41,C.I.16290",CAS Registry Number:5850-44-2,2-3,ISO,AcidDye,Molecular Structure:  Single azo class,"Properties and Applications: colourful red blue light. Soluble in water for wine red, hardly soluble in alcohol. The strong sulfuric acid for purple, diluted for pink. Adding strong hydrochloric acid solution for wine red; Add sodium hydroxide for red brown."
"Name:C.I.Acid Red 40,C.I.18070",CAS Registry Number:12167-45-2,2,AATCC,AcidDye,Molecular Structure:  Single azo class,"Properties and Applications: blue-ray red. Soluble in water is red. The strong sulfuric acid for blue-ray red, diluted for pink; In nitric acid for pink; In 10% of sodium hydroxide solution for yellow."
"Name:C.I.Acid Red 38,C.I.18880",CAS Registry Number:13011-67-1,3,ISO,AcidDye,"Molecular Structure:  Single azo,Metal Complexes",Properties and Applications: yellow light red.
"Name:C.I.Acid Red 37,C.I.17045",CAS Registry Number:6360-07-2,2,ISO,AcidDye,Molecular Structure:  Single azo class,"Properties and Applications: blue-ray red. Purple powder. It is easy to dissolve in the water, in the 100 ° C of the water solubility of 200 g/L, no solution at room temperature gather tendency, slightly soluble in ethanol purplish red. The strong sulfuric acid dyes in the dark blue for red, diluted with dark red to red light purple; In nitric acid for olive green and quickly into brown; In strong hydrochloric acid is red light purple precipitation, and add water to dissolve the diluted. Its water solution is cherry red, with strong hydrochloric acid into purple caramel precipitation; Sodium hydroxide solution to add thick red wine. Mainly used for wool, silk and polyamide fiber and its blended fabric dyeing, can be in wool and silk fabric printing directly, can also be used for leather color. This product used for wool textiles, influential, the spell dye worsted products."
"Name:C.I.Acid Red 35,C.I.18065",CAS Registry Number:6441-93-6,2,ISO,AcidDye,Molecular Structure:  Single azo class,"Properties and Applications: colourful red blue light. Dark red powder. Soluble in water, soluble in ethanol in a certain extent a product red, slightly soluble in acetone. A product of sulfuric acid in red, pink is diluted. Its water solution and strong hydrochloric acid, a product red, add sodium hydroxide solution is orange brown. In dyeing copper and iron ion colour and lustre is a little blue. Mainly used for wool fabric dyeing and printing, with chromium after mordant dyeing color unchanged. But in the silk, wool products direct printing, and can also be used for the paper, leather color, also used in the manufacture of sediment and ink color."
"Name:C.I.Acid Red 34,C.I.17030",CAS Registry Number:6360-04-9,2-3,ISO,AcidDye,Molecular Structure:  Single azo class,"Properties and Applications: colourful red blue light. Soluble in water is red to blue light purple, slightly soluble in ethanol, soluble in soluble fiber element, insoluble in other organic solvents. Meet strong sulfuric acid is orange red, it will be diluted in orange red still. Its water solution and 10% sulfuric acid as pink; And 10% sodium hydroxide solution is pink. Dyeing wool products and tussah, also can be used for paper, leather and casein plastic dyeing."
"Name:C.I.Acid Red 33,C.I.17200",CAS Registry Number:3567-66-6,2-3,ISO,AcidDye,Molecular Structure:  Single azo class,"Properties and Applications: red. Soluble in water, slightly soluble in ethanol for scarlet. For the strong sulfuric acid in scarlet, diluted for orange red; In nitric acid solution for palm chestnut. In water solution to join strong hydrochloric acid for red; Add thick sodium hydroxide solution for red light brown; Join rare sodium hydroxide solution for brick red."
"Name:C.I.Acid Red 32,C.I.17065",CAS Registry Number:6360-10-7,3,ISO,AcidDye,Molecular Structure:  Single azo class,"Properties and Applications: blue-ray red. Soluble in water for red, soluble in ethanol purplish red color. The strong sulfuric acid for pink, to orange diluted. In water solution to join strong hydrochloric acid for red; Add thick sodium hydroxide solution for purple."
"Name:C.I.Acid Red 31,C.I.16540",CAS Registry Number:5850-50-0,2,ISO,AcidDye,Molecular Structure:  Single azo class,"Properties and Applications: blue-ray red. Soluble in water for wine red, hardly soluble in alcohol. The strong sulfuric acid for dark purple, diluted red wine. In water solution to join strong hydrochloric acid for the red; Add sodium hydroxide into wine red to the deep red."
"Name:C.I.Acid Red 30,C.I.17035",CAS Registry Number:6160-05-0,2-3,ISO,AcidDye,Molecular Structure:  Single azo class,"Properties and Applications: red. Soluble in water for red, hardly soluble in ethanol and acetone. The strong sulfuric acid for orange red to red brown, diluted the pale orange. Its water solution and strong hydrochloric acid for red, have precipitation; Add thick sodium hydroxide solution for purplish red color."
"Name:C.I.Acid Red 29,C.I.16570",CAS Registry Number:4197-07-3,2,ISO,AcidDye,Molecular Structure:  Single azo class,"Properties and Applications: red. Soluble in water for red orange, soluble in soluble fiber element, moderate soluble in alcohol and acetone is red light purple, insoluble in other organic solvents. The strong sulfuric acid for wine red, diluted into pink; In nitric acid solution for red, and then to orange. Add hydrochloric acid in aqueous solution for the red orange; Add thick sodium hydroxide solution for deep red wine."
"Name:C.I.Acid Red 27,C.I.16185",CAS Registry Number:915-67-3,3,ISO,AcidDye,Molecular Structure:  Single azo class,"Properties and Applications: blue-ray red. Slightly soluble in water is product red, and very difficult to soluble in ethanol and soluble fiber element. The strong sulfuric acid for purple, diluted into pink. In nitric acid solution for colourful red; In strong hydrochloric acid solution is brown, and a black residual soak. Its water solution and strong hydrochloric acid is product red; Add thick sodium hydroxide solution is red light brown."
"Name:C.I.Acid Red 26:1,C.I.16151",CAS Registry Number:8004-46-4,,ISO,AcidDye,Molecular Structure:  Single azo class,"Properties and Applications: red. Soluble in water red, slightly soluble in alcohol. Meet strong sulfuric acid is magenta, diluted in red. Its water solution and strong hydrochloric acid for red; Add thick sodium hydroxide solution is orange brown."
"Name:C.I.Acid Red 26,C.I.16150",CAS Registry Number:3761-53-3,3-4,ISO,AcidDye,Molecular Structure:  Single azo class,"Properties and Applications: colourful red yellow light. Soluble in water for red orange to red, hardly soluble in ethanol and acetone, insoluble in other organic solvents. The strong sulfuric acid are blushing to wine red, yellow and red for diluted. In water solution to join strong hydrochloric acid have red precipitate; Join nitric acid by bright red to orange; Add thick sodium hydroxide solution into orange brown; Add 10% sodium hydroxide solution for palm red."
"Name:C.I.Acid Red 25,C.I.16050",CAS Registry Number:5858-93-5,,ISO,AcidDye,Molecular Structure:  Single azo class,"Properties and Applications:  red. Soluble in water for red, and adequate soluble in alcohol. The strong sulfuric acid to red light purple, diluted in red. In aqueous solution to join strong hydrochloric acid for red; Add thick sodium hydroxide solution for yellow brown."
"Name:C.I.Acid Red 24,C.I.16140",CAS Registry Number:5858-30-0,2,ISO,AcidDye,Molecular Structure:  Single azo class,"Properties and Applications: yellow light red. Soluble in water, slightly soluble in ethanol for orange red. The strong sulfuric acid explicit orange red, orange is still the diluted. In water solution to join strong hydrochloric acid for orange red; Add sodium hydroxide for orange brown."
"Name:C.I.Acid Red 23,C.I.16130",CAS Registry Number:5864-81-3,2-3,ISO,AcidDye,Molecular Structure:  Single azo class,"Properties and Applications: red. Soluble in water for red, hardly soluble in alcohol. The strong sulfuric acid for red, diluted still in red. In aqueous solution to join strong hydrochloric acid red; Add thick sodium hydroxide solution for red light orange brown."
"Name:C.I.Acid Red 22,C.I.14940",CAS Registry Number:5864-85-7,4,ISO,AcidDye,Molecular Structure:  Single azo class,"Properties and Applications: red. Soluble in water for product red, and adequate soluble in alcohol in red. The strong sulfuric acid for purple, diluted red for quality. In aqueous solution to join strong hydrochloric acid for product red; Add sodium hydroxide into a brown."
"Name:C.I.Acid Red 21,C.I.14965",CAS Registry Number:5858-71-9,1,AATCC,AcidDye,Molecular Structure:  Single azo class,"Properties and Applications:  red. Soluble in water for blu-ray red. The strong sulfuric acid for violet blue, diluted red for blue-ray. In water solution to join hydrochloric acid discoloration; Add sodium hydroxide is yellow."
"Name:C.I.Acid Red 20,C.I.14830",CAS Registry Number:5858-53-7,3,ISO,AcidDye,Molecular Structure:  Single azo class,"Properties and Applications: red. Slightly soluble in water for orange red. The strong sulfuric acid for blue, red after diluted precipitation; In nitric acid solution for orange brown."
"Name:C.I.Acid Red 19,C.I.16605",CAS Registry Number:5850-58-8,3,ISO,AcidDye,Molecular Structure:  Single azo class,"Properties and Applications: colourful red blue light. Soluble in water is red. The strong sulfuric acid in blue, diluted into red; In the bright red precipitation appear in the hydrochloric acid; Sodium hydroxide solution for deep in the red."
"Name:C.I.Acid Red 18,C.I.16255",CAS Registry Number:2611-82-7,2,ISO,AcidDye,Molecular Structure:  Single azo class,"Properties and Applications:  red. Red powder. Soluble in water red, slightly soluble in ethanol and soluble fiber element, insoluble in other organic solvents. Strong sulfuric acid in purple, will the red orange is diluted; Nitric acid solution in yellow. Its water solution and strong hydrochloric acid red, add sodium hydroxide is brown. Mainly used for wool, silk, polyamide fiber and its blended fabric dyeing, also can be used for leather, paper, plastic, wood, medicine and cosmetics of dyeing, still can make the ink."
"Name:C.I.Acid Red 17,C.I.16180",CAS Registry Number:5858-33-3,3,ISO,AcidDye,Molecular Structure:  Single azo class,"Properties and Applications: blue-ray red. Purple powder. Soluble in water is product red, slightly soluble in ethanol, insoluble in other organic solvents. The dye in strong sulfuric acid is deep blue, it will be diluted red for product; Slightly soluble in nitric acid blue light is red, yellow for change after red; 10% sodium hydroxide solution in a red light brown solution. Its water solution and strong hydrochloric acid is dark red; Add sodium hydroxide for orange brown. Used for wool, silk products dyeing, leather, paper, biological products dyeing. Its Barium salt can be used as organic pigments."
"Name:C.I.Acid Red 16,C.I.14920",CAS Registry Number:5858-66-2,2-3,ISO,AcidDye,Molecular Structure:  Single azo class,"Properties and Applications: red. Soluble in water for red, orange for adequate soluble in alcohol. The strong sulfuric acid for dark purple, diluted in red. In aqueous solution to join strong hydrochloric acid for red; Add thick sodium hydroxide solution for orange brown."
"Name:C.I.Acid Red 15,C.I.17930",CAS Registry Number:6369-42-2,3-4,AATCC,AcidDye,Molecular Structure:  Single azo class,Properties and Applications: yellow light red.
"Name:C.I.Acid Red 14,C.I.14720",CAS Registry Number:3567-69-9,2,ISO,AcidDye,Molecular Structure:  Single azo class,"Properties and Applications: blue-ray red. Dark red powder, soluble in water, but soluble in ethanol red solution, slightly soluble in acetone. In a purple color of sulfuric acid, and it will dilute to product red precipitate; Nitric acid in deep red, turn red after yellow. Its water solution and strong hydrochloric acid red; Add sodium hydroxide fluid shows red orange brown. Dyeing copper ions in slightly dark color. Good levelness. Mainly used in strong acid dye in bath dyeing wool, wool fabrics can be in silk fabric, polyamide fiber and printing. The Barium salt can be used as organic pigment use. Also can be used in the manufacture color amylum, ink and used for leather, paper, soap, wood, electrical-controlled silver, medicine, biology and cosmetics shading."
"Name:C.I.Acid Red 13,C.I.16045",CAS Registry Number:2302-96-7,2-3,ISO,AcidDye,Molecular Structure:  Single azo class,"Properties and Applications: red. Soluble in water is cherry red, slightly soluble in ethanol (the pale of the red light purple), almost insoluble in acetone. Strong sulfuric acid in purple, will have its dilution cherry red (produced orange precipitation); Meet nitric acid for yellow light red. Its water solution with hydrochloric acid for yellow orange; Add thick sodium hydroxide solution for orange light brown. Used for wool, silk dyeing, can also be used for the feathers, paper, soap, leather, wood, cosmetics and pharmaceutical color."
"Name:C.I.Acid Red 12,C.I.14835",CAS Registry Number:3746-79-0,2,ISO,AcidDye,Molecular Structure:  Single azo class,"Properties and Applications: blue-ray red. Soluble in water for product red, slightly soluble in ethanol, acetone, soluble fiber element, insoluble in other organic solvents. The strong sulfuric acid for red light blue, pink solution diluted and appear to precipitate; In nitric acid, the orange into yellow solution. Its water solution to join strong hydrochloric acid for product red; Add sodium hydroxide for product red."
"Name:C.I.Acid Red 10,C.I.15640",CAS Registry Number:5850-95-3,2-3,ISO,AcidDye,Molecular Structure:  Single azo class,"Properties and Applications: yellow light red. Soluble in water for big red. The strong sulfuric acid for quality in red, for palm red light after diluted precipitation. The dye solution to join strong hydrochloric acid with brown precipitation; Add sodium hydroxide have red light brown precipitation."
"Name:C.I.Acid Red 9,C.I.15635",CAS Registry Number:8003-59-6,3,ISO,AcidDye,Molecular Structure:  Single azo class,"Properties and Applications: yellow light red. Slightly soluble in cold water, soluble in hot water for yellow red. The strong sulfuric acid for quality in red, dilute appear after brown precipitation. In water solution to join hydrochloric acid with brown precipitation; Add sodium hydroxide red-brown precipitation."
"Name:C.I.Acid Red 8,C.I.14900",CAS Registry Number:4787-93-3,2-3,ISO,AcidDye,Molecular Structure:  Single azo class,"Properties and Applications: colourful red yellow light. Soluble in water for product red, slightly soluble in ethanol for orange, almost insoluble in acetone. The strong sulfuric acid for product red, diluted for pink. In water solution to join strong hydrochloric acid for product red; By adding concentrated sodium hydroxide solution was time"
"Name:C.I.Acid Red 7,C.I.14895",CAS Registry Number:5858-61-7,2,ISO,AcidDye,Molecular Structure:  Single azo class,"Properties and Applications: blue-ray red. Soluble in water for blue-ray red, part of the soluble in ethanol and acetone, slightly soluble in toluene. The strong sulfuric acid for red, diluted the bright red for; In nitric acid yellow orange for color. In aqueous solution to join strong hydrochloric acid for red; Add sodium hydroxide for yellow brown."
"Name:C.I.Acid Red 6,C.I.14680",CAS Registry Number:6245-59-6,3,ISO,AcidDye,Molecular Structure:  Single azo class,"Properties and Applications: red light yellow. Yellow light red powder. Soluble in water for big red, on 90 ° C water solubility of 80 g/L, soluble in ethanol in red. Dye of sulfuric acid in a cherry red, diluted into red. Its water solution and strong hydrochloric acid into red, precipitation; Add thick sodium hydroxide solution to orange. Discharge of copper, iron ion in color shade darker. This applies to goods wool, silk and their blended fabric dyeing, and can be directly on the wool and silk printing."
"Name:C.I.Acid Red 5,C.I.14905",CAS Registry Number:5858-63-9,2,ISO,AcidDye,Molecular Structure:  Single azo class,"Properties and Applications: red. Soluble in water for red to product red, slightly soluble in ethanol and acetone, insoluble in other organic solvents. The strong sulfuric acid for purple, diluted red for quality. The dye solution to join strong hydrochloric acid for product red; Add sodium hydroxide is palm orange."
"Name:C.I.Acid Red 4,C.I.14710",CAS Registry Number:5858-39-9,2-3,ISO,AcidDye,Molecular Structure:  Single azo class,"Properties and Applications:  red. Soluble in water for red, soluble in acetone, slightly soluble in ethanol (orange) and toluene. The strong sulfuric acid to red light purple, diluted red for quality. In water solution to join strong hydrochloric acid have dark red precipitate; Add nitric acid have blue-ray red precipitation, first into a brown, then yellow; Add thick sodium hydroxide solution color change."
"Name:C.I.Acid Red 3,C.I.14910",CAS Registry Number:5858-64-0,2,ISO,AcidDye,Molecular Structure:  Single azo class,"Properties and Applications: blu-ray red. For product red is soluble in water, soluble in ethanol in red. The strong sulfuric acid for blue, purple for red after diluted. In aqueous solution to join strong hydrochloric acid wine red precipitate; Add sodium hydroxide into orange brown."
"Name:C.I.Acid Red 1,C.I.118050",CAS Registry Number:3734-67-6,3,ISO,AcidDye,Molecular Structure:  Single azo class,"Properties and Applications: colourful red blue light. Red powder. Soluble in water solution for big red, slightly soluble in ethanol and soluble fiber element, insoluble in other organic solvents. Meet strong sulfuric acid is blue light red, it will be diluted in a yellow after red; Meet nitric acid solution is orange turn orange; Meet strong hydrochloric acid generation red precipitation, dilute it dissolve. The aqueous solution of dyes and strong hydrochloric acid is product red; Add sodium hydroxide is orange brown. Copper ions in dyeing and dark blue colour and lustre to take; Iron ion in color with blue and light. Good levelness. Mainly used in strong acid medium in the wool dyeing and the piece dyed wool. Can be directly in the wool fabrics, polyamide fiber and fabric silk printing. Also can be used for leather dyeing, also can be used in the manufacture of color amylum, cosmetics, paper, soap and timber colorants, is used to make the ink. The Barium salt can be used in organic pigments."
Name:C.I.Acid Orange 173,,4,ISO,AcidDye,Molecular Structure:  Single azo class,Properties and Applications:
Name:C.I.Acid Orange 171,,4,ISO,AcidDye,Molecular Structure:  Double azo class,Properties and Applications: red orange. Used for the dyeing nylon.
"Name:C.I.Acid Orange 165,C.I.28682",CAS Registry Number:77907-16-5,4,ISO,AcidDye,Molecular Structure:  Double azo class,Properties and Applications: red orange
"Name:C.I.Acid Orange 164,C.I.18840:1",CAS Registry Number:55613-78-0,3-4,ISO,AcidDye,"Molecular Structure:  Single azo,1:2 Metal Complexes",Properties and Applications: dark red light orange.
"Name:C.I.Acid Orange 160,C.I.16013",CAS Registry Number:82944-41-0,,ISO,AcidDye,Molecular Structure:  Single azo class,Properties and Applications: bright orange.
"Name:C.I.Acid Orange 159,C.I.14677",CAS Registry Number:82944-40-9,,ISO,AcidDye,Molecular Structure:  Single azo class,Properties and Applications:brilliant red orange
"Name:C.I.Acid Orange 156,C.I.26501",CAS Registry Number:68555-86-2,3,ISO,AcidDye,Molecular Structure:  Double azo class,"Properties and Applications: orange. Orange powder. Soluble in water, in 90 ℃ water solubility of 100 g/L. This product is mainly used for the polyamide fiber dyeing, the dyeing performance and fastness are good. But with C.I.Acid Red 361, C.I.Acid Blue 277 of primary colors."
Name:C.I.Acid Orange 154,,5,ISO,AcidDye,"Molecular Structure:  Single azo,1:2 Metal Complexes",Properties and Applications: red orange.
"Name:C.I.Acid Orange 148,C.I.18746",CAS Registry Number:83335-08-4,4-5,ISO,AcidDye,"Molecular Structure:  Single azo,1:2 Metal Complexes",Properties and Applications: red orange.
Name:C.I.Acid Orange 144,CAS Registry Number:61814-64-0,4-5,ISO,AcidDye,"Molecular Structure:  Single azo,1:2 Metal Complexes",Properties and Applications: Red orange.
Name:C.I.Acid Orange 142,CAS Registry Number:61901-39-1,4-5,ISO,AcidDye,"Molecular Structure:Azo,1:2 Metal Complexes","Properties and Applications: Red orange. Applicable in rapid dyeing equipment dyeing wool, 80-90 ℃, PH 3.5 ~ 4.0, dyeing time can be reduced"
"Name:C.I.Acid Orange 137,C.I.19235",CAS Registry Number:15139-76-1,,ISO,AcidDye,Molecular Structure:  Single azo class,"Properties and Applications: dark orange. The strong sulfuric acid for purple, diluted into red; In strong hydrochloric acid for red; In 10% of sodium hydroxide solution for yellow orange, yellow light is palm diluted."
Name:C.I.Acid Orange 128,CAS Registry Number:12269-97-5,4,ISO,AcidDye,Molecular Structure:  Double azo class,Properties and Applications: bright yellow orange.
"Name:C.I.Acid Orange 127,C.I.26502",CAS Registry Number:12269-96-4,5,ISO,AcidDye,Molecular Structure:  Azo class,"Properties and Applications: red light orange. Red orange powder, soluble in water, in 90 ℃ water solubility of 100 g/L. This applies to goods polyamide fiber fabric dyeing, can make discharge printing to color but to pull white, the color fastness is better."
Name:C.I.Acid Orange 116,CAS Registry Number:12220-10-9,5,AATCC,AcidDye,Molecular Structure:  Double azo class,"Properties and Applications: dark red light orange. Dark red light orange powder, soluble in water. The strong sulfuric acid dyes for bright green, diluted into purple, again diluted into red. Levelness medium, dyeing copper ions in turn dark colored light obvious in iron ion colored light light yellow. This product used for wool, polyamide fiber and wool blended fabric dyeing, general is not used for printing."
"Name:C.I.Acid Orange 100,C.I.11640",CAS Registry Number:16521-32-7,3,ISO,AcidDye,"Molecular Structure:  Single azo,1:2 Metal Complexes","Properties and Applications: bright yellow orange. Soluble in water for red light yellow, and adequate soluble in alcohol for red light yellow. The strong sulfuric acid to dark yellow, diluted the same color. Add sodium hydroxide in aqueous solution for yellow, then to orange precipitation; Join the hydrochloric acid for yellow, then to orange precipitation."
"Name:C.I.Acid Orange 99,C.I.12696",CAS Registry Number:10127-26-1,4-5,ISO,AcidDye,"Molecular Structure:  Single azo,1:2 Metal Complexes","Properties and Applications: red light orange. Soluble in water, slightly soluble in alcohol. The strong sulfuric acid to dark yellow, to orange diluted. The dye solution to join strong hydrochloric acid have orange precipitation; Add sodium hydroxide into red"
"Name:C.I.Acid Orange 97,C.I.13890",CAS Registry Number:6460-02-2,4,ISO,AcidDye,"Molecular Structure:  Single azo,1:2 Metal Complexes","Properties and Applications: dark yellow orange. Soluble in water for yellow orange, and adequate soluble in ethanol for orange. The strong sulfuric acid in orange, diluted the same color. In water solution to join hydrochloric acid for yellow orange, red orange precipitation; Add sodium hydroxide into scarlet."
"Name:C.I.Acid Orange 95,C.I.24780",CAS Registry Number:12217-33-3,3-4,ISO,AcidDye,Molecular Structure:  Double azo class,"Properties and Applications:  red light orange. Cherry red powder, soluble in water. A variety of fiber with bath dyeing, polyamide, wool color similar quantity, silk a little shallow, polyester and acrylic and cotton have dyeing. Apply to wool and silk and polyamide fiber fabric printing directly, also can used for leather dyeing."
Name:C.I.Acid Orange 94,CAS Registry Number:61724-28-5,4,AATCC,AcidDye,Molecular Structure:  Double azo class,"Properties and Applications: Bright orange. Bright orange powder, soluble in water. Apply to silk, polyamide fiber fabric dyeing and printing, also can be used for leather dyeing. White wine.green, encounter chromium ion make serious dark colored dye."
Name:C.I.Acid Orange 89,CAS Registry Number:12269-95-3,4-5,ISO,AcidDye,"Molecular Structure:  Single azo,Metal Complexes","Properties and Applications: bright orange. The original dyes as orange powder. Slightly soluble in water, soluble in ethylene glycol ether, DMF, ethanol, and other organic solvent, soluble in organic solvent for orange after brown. Leather spray product for flammable, volatile liquid with the smell of wine. Mainly used for pigskin, sheepskin and cowhide and other natural leather spraying, particularly suitable for the aniline leather spraying shading."
"Name:C.I.Acid Orange 88,C.I.187321",CAS Registry Number:12239-03-1,4-5,AATCC,AcidDye,"Molecular Structure:  Single azo,Metal Complexes","Properties and Applications: ed light orange. Orange or yellow brown powder, its water solution to gel state. The strong sulfuric acid for yellow, diluted the same colour and lustre, precipitation appear; No change in strong hydrochloric acid, diluted solution into orange, and the precipitation; In nitric acid solution for golden, diluted into orange red solution; In the thick partly dissolved sodium hydroxide solution for orange red, diluted unchanged. Water solution is orange. Used for wool, silk, tussah, polyamide, PVA, PVA/cotton, wool/stick blended fabric dyeing and printing. This product can and alkalinity rose essence spell color red color oil made ball pen, can also be used in leather dyeing."
Name:C.I.Acid Orange 87,CAS Registry Number:12239-02-0,4-5,ISO,AcidDye,"Molecular Structure:  Single azo,Metal Complexes","Properties and Applications: yellow orange. Yellow powder, soluble in water. Used for wool, silk, polyamide, PVA and their blended fabric dyeing and printing and, also used in leather dyeing."
Name:C.I.Acid Orange 86,CAS Registry Number:12220-07-4,5,ISO,AcidDye,"Molecular Structure:  Single azo,Metal Complexes",Properties and Applications: Red orange
"Name:C.I.Acid Orange 79,C.I.23255",CAS Registry Number:6470-37-7,3-4,ISO,AcidDye,Molecular Structure:  Double azo class,"Properties and Applications: red light orange. Soluble in water for orange, soluble in ethanol for gold orange, slightly soluble in benzene and acetone. The strong sulfuric acid in red orange for, to orange diluted. The dye solution to join strong hydrochloric acid for orange; Add thick sodium hydroxide solution for yellow light brown. Used for wool, silk and fiber dyeing and printing directly."
"Name:C.I.Acid Orange 76,C.I.18870",CAS Registry Number:6656-00-4,4,ISO,AcidDye,"Molecular Structure:  Single azo,Metal Complexes","Properties and Applications: dark red light orange. The strong sulfuric acid for green light yellow, diluted into yellow. Used for wool, silk, polyamide fiber dyeing and such as direct printing. Can be used in organic pigments and solvent dye, also used in leather shading."
"Name:C.I.Acid Orange 74,C.I.18745",CAS Registry Number:10127-27-2,4,ISO,AcidDye,"Molecular Structure:  Single azo,Metal Complexes","Properties and Applications: orange. Dark brown powder. Soluble in water for orange, soluble in ethanol, slightly soluble in soluble fiber element. The strong sulfuric acid to dark yellow, diluted into orange; In 10% of sodium hydroxide solution for orange. Used for wool, polyamide fiber and silk dyeing and printing directly, also used in leather and electrochemical aluminum color. Especially for the influential product and the wool carpet dyeing."
"Name:C.I.Acid Orange 72,C.I.18740",CAS Registry Number:6408-27-1,4,ISO,AcidDye,"Molecular Structure:  Single azo,Metal Complexes","Properties and Applications: red light orange. Soluble in water for orange, soluble in ethanol, acetone, soluble fiber element, insoluble in other organic solvents. The strong sulfuric acid in dark green light for yellow, dilute for yellow orange after; In nitric acid solution by brown in a red light yellow; In strong hydrochloric acid for yellow solution; In 10% of sodium hydroxide solution without change. Used for wool, silk and polyamide fiber dyeing and such as direct printing."
