index,PSMILES,Eat,Eea,Egb,Egc,Ei,Xc,eps,nc
817.0,[*]CC(COCC)O[*],,,,5.5518,,,,
818.0,[*]CC(COCC=C)O[*],,,,5.2711,,,,
819.0,[*]CC(COCCCC)O[*],,,,5.3487,,,,
820.0,[*]CC(COCCCCCC)O[*],,,,5.6762,,,,
821.0,[*]CC(CO[*])(COC=O)COC=O,,,,6.4753,,53.4,,
822.0,[*]CC(CO[*])(COCC)COCC,,,,,,26.85,,
823.0,[*]CC(CO[*])(COc1ccccc1)COc1ccccc1,,,,4.7985,,,,
824.0,[*]CC(CO[*])(CS(=O)(=O)C(C)C)CS(=O)(=O)C(C)C,,,,5.5454,,,,
825.0,[*]CC(CO[*])(CS(=O)(=O)CC)CS(=O)(=O)CC,,,,5.0473,,,,
826.0,[*]CC(CO[*])(CS(=O)(=O)CCC)CS(=O)(=O)CCC,,,,4.6292,,,,
827.0,[*]CC(CO[*])(CS(=O)(=O)CCCC)CS(=O)(=O)CCCC,,,,5.4465,,,,
828.0,[*]CC(CO[*])(CS(=O)(=O)CCCCC)CS(=O)(=O)CCCCC,,,,5.21,,,,
829.0,[*]CC(CO[*])(CS(C)(=O)=O)CS(C)(=O)=O,,,,5.8874,,,,
830.0,[*]CC(CO[*])(CSC(C)C)CSC(C)C,,,,4.6686,,,,
831.0,[*]CC(CO[*])(CSC)CSC,,,,4.984,,,,
832.0,[*]CC(CO[*])(CSCC)CSCC,,,,4.7171,,,,
833.0,[*]CC(CO[*])C(C)(C)C,,,,5.7599,,,,
834.0,[*]CC(COc1c(Cl)cc(Cl)cc1Cl)O[*],,,,4.5851,,,,
835.0,[*]CC(COc1ccc(-c2ccc(C#N)cc2)cc1)O[*],,,,4.4378,,,,
836.0,[*]CC(COc1ccc(Cl)cc1)O[*],,,,4.8901,,,,
837.0,[*]CC(COc1cccc(C)c1)O[*],,,,5.1113,,,,
838.0,[*]CC(CS(=O)(=O)C(C)C)O[*],,,,5.0712,,,,
839.0,[*]CC(CS(=O)(=O)CC)O[*],,,,5.3436,,,,
840.0,[*]CC(CS(=O)(=O)CCC)O[*],,,,6.0251,,0.16,,
841.0,[*]CC(CS(=O)(=O)CCCC)O[*],,,,,,0.13,,
842.0,[*]CC(CS(=O)(=O)CCCCC)O[*],,,,6.4419,,0.44,,
843.0,[*]CC(CS(C)(=O)=O)O[*],,,,5.2613,,0.37,,
844.0,[*]CC(CSC(C)C)O[*],,,,4.8245,,,,
845.0,[*]CC(C[N-][N+]#N)O[*],,,,5.5722,,,,
846.0,[*]CC(Cl)(C#N)C1C=CC([*])CC1,,,,5.4881,,,,
847.0,[*]CC(Cl)C(Cl)C([*])Cl,,,,7.1649,,,,
848.0,[*]CC(F)(F)C(F)(F)C(F)(F)C(F)(F)COC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)O[*],,,,6.3052,,,,
849.0,[*]CC(F)(F)C(F)(F)C(F)(F)C(F)(F)COC(=O)CC(CC(=O)O[*])C(F)(F)C(F)(F)C(F)(F)F,,,,6.9563,,,,
850.0,[*]CC(F)(F)C(F)(F)C(F)(F)C(F)(F)COC(=O)CCCC(=O)O[*],,,,7.0209,,,,
851.0,[*]CC(F)(F)C(F)(F)C(F)(F)C(F)(F)COC(=O)CSCCSCC(=O)O[*],,,,5.0898,,,,
852.0,[*]CC(F)(F)C(F)(F)C(F)(F)C(F)(F)COC(=O)NCC(F)(F)C(F)(F)C(F)(F)C(F)(F)CNC(=O)O[*],,,,6.8832,,,,
853.0,[*]CC(F)(F)C(F)(F)C(F)(F)C(F)(F)COC(=O)NCCCCCCNC(=O)O[*],,,,6.4368,,,,
854.0,[*]CC(F)(F)C(F)(F)C(F)(F)C(F)(F)COC(=O)O[*],,,,7.7624,,,,
855.0,[*]CC(F)(F)C(F)(F)C(F)(F)COC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)O[*],,,,6.5652,,,,
856.0,[*]CC(F)(F)C(F)(F)C(F)(F)COC(=O)CC(CC(=O)O[*])C(F)(F)C(F)(F)C(F)(F)F,,,,6.6602,,,,
857.0,[*]CC(F)(F)C(F)(F)C(F)(F)COC(=O)CCCC(=O)O[*],,,5.7563,6.894,,,,
858.0,[*]CC(F)(F)C(F)(F)C(F)(F)COC(=O)CCCCC(=O)O[*],,,6.2672,6.6433,,,,
859.0,[*]CC(F)(F)C(F)(F)C(F)(F)COC(=O)CSCSCC(=O)O[*],,,,5.1865,,,,
860.0,[*]CC(F)(F)C(F)(F)C(F)(F)COC(=O)NCC(F)(F)C(F)(F)C(F)(F)C(F)(F)CNC(=O)O[*],,,6.4326,6.897,,,,
861.0,[*]CC(F)(F)C(F)(F)C(F)(F)COC(=O)NCCCCCCNC(=O)O[*],,,,6.3766,,,,
862.0,[*]CC(F)(F)C(F)(F)C(F)(F)COC(=O)c1cccc(-c2cccc(C(=O)O[*])c2)c1,,,,4.3076,,,,
863.0,[*]CC(F)(F)C(F)(F)COC(=O)NCC(F)(F)C(F)(F)C(F)(F)C(F)(F)CNC(=O)O[*],,,,7.202,,,,
864.0,[*]CC(F)(F)C(F)(F)COC(=O)NCCCCCCNC(=O)O[*],,,,6.4212,,36.03,,
865.0,[*]CC(F)(F)C(F)=C([*])Cl,,,,4.8591,,,,
866.0,[*]CC(F)(F)C1(F)CC(CC(O)(C(F)(F)F)C(F)(F)F)CC1[*],,,,7.7065,,,,
867.0,[*]CC(O)C(O)CN([*])c1ccc(N(C)C)cc1,,,,3.7705,,,,
868.0,[*]CC(O)C(O)COC(=O)O[*],,,,6.9702,,,,
869.0,[*]CC(O)CN([*])c1cc(C)c(N=Nc2ccc(Cl)cc2)c(C)c1,,,,2.6365,,,,
870.0,[*]CC(O)CN([*])c1cc(C)cc(C)c1,,,,4.5575,,,,
871.0,[*]CC(O)CN([*])c1ccc(N=Nc2ccc(C#N)cc2)cc1,,,,2.0164,,,,
872.0,[*]CC(O)CN([*])c1ccc(N=Nc2ccc(C(=O)O)cc2)cc1,,,,2.4267,,,,
873.0,[*]CC(O)CN([*])c1ccc(N=Nc2ccc(Cl)cc2)cc1,,,,2.6263,,,,
874.0,[*]CC(O)COC(=O)CCCCC(=O)OCC(O)COc1ccc(O[*])cc1,,,,5.0285,,,,
875.0,[*]CC(O)CO[*],,,,6.5192,,,,
876.0,[*]CC(O)COc1ccc(C(C)(C)c2ccc(OCC(O)COc3ccc(S(=O)(=O)c4ccc(O[*])cc4)cc3)cc2)cc1,,,,4.067,,,,
877.0,[*]CC(O)COc1ccc(C(C)(C)c2ccc(OCC(O)COc3cccc(O[*])c3)cc2)cc1,,,,4.725,,,,
878.0,[*]CC(O)COc1ccc(C(C)(C)c2ccc(O[*])c(Cl)c2)cc1Cl,,,,4.6702,,,,
879.0,[*]CC(O)COc1ccc(O[*])cc1,,,,4.7923,,,,
880.0,[*]CC(O)COc1ccc(S(=O)(=O)c2ccc(OCC(O)COc3cccc(O[*])c3)cc2)cc1,,,,4.3099,,,,
881.0,[*]CC(O)COc1ccc(S(=O)(=O)c2ccc(O[*])c(C)c2)cc1C,,,,4.1274,,,,
882.0,[*]CC(O)COc1cccc(O[*])c1,,,,5.2018,,,,
883.0,[*]CC(OC(=O)C(=O)OCC)C(COC(=O)O[*])OC(=O)C(=O)OCC,,,,5.2047,,,,
884.0,[*]CC(OC(=O)OCC)C(COC(=O)O[*])OC(=O)OCC,,,,7.1757,,,,
885.0,[*]CC(OC(C)=O)C(COC(=O)O[*])OC(C)=O,,,,6.5585,,,,
886.0,[*]CC(OC(C)=O)C1C(=O)N(c2ccc(C)cc2)C(=O)C1([*])Cl,,,,4.7107,,,,
887.0,[*]CC(OC(C)=O)C1C(=O)N(c2ccccc2)C(=O)C1([*])Cl,,,,5.0889,,,,
888.0,[*]CC(OC)C(C(=O)O)C([*])C(=O)O,,,,6.3287,,,,
889.0,[*]CC(OC)C1(C)C(=O)OC(=O)C1([*])C,,,,5.7217,,,,
890.0,[*]CC(OC)C1C(=O)OC(=O)C1[*],,,,5.9975,,,,
891.0,[*]CC(OC1CCCCC1)C1C(=O)OC(=O)C1[*],,,,5.6267,,,,
892.0,[*]CC(OC=O)C(COC(=O)O[*])OC=O,,,,7.0946,,,,
893.0,[*]CC(OCC)C(C#N)(C#N)C([*])(C#N)C(=O)OC,,,5.4071,5.4657,,,,
894.0,[*]CC(OO[*])c1ccc(Br)cc1,,,,5.1335,,,,
895.0,[*]CC(O[*])C(C)(C)C,,,,5.5394,,20.98,,
896.0,[*]CC(O[*])C(C)C,,,,5.7752,,,,
897.0,[*]CC(O[*])C(F)(F)F,-5.24,0.7546,7.4158,6.7566,7.9431,,2.7,1.4843
898.0,[*]CC(O[*])C1CC(F)(F)C1(F)F,,,,6.5249,,,,
899.0,[*]CC(O[*])c1ccccc1,,,,5.2866,,,,
900.0,[*]CC(O[*])c1ccco1,,,,5.0251,,,,
901.0,[*]CC(S1)=CC=C1C(=O)C(=S)[*],-5.99,3.3428,2.693,3.0928,6.4325,,4.34,1.9676
902.0,[*]CC(S1)=CC=C1C(=O)C(S2)=CC=C2[*],-6.08,2.8498,2.7131,3.4685,6.3555,,4.69,2.0215
903.0,[*]CC(S1)=CC=C1C(=O)O[*],-6.07,2.358,3.78,4.5212,6.8862,,4.17,1.8582
904.0,[*]CC(S1)=CC=C1C(=S)C(S2)=CC=C2[*],-5.94,3.3843,2.2961,2.5715,5.9541,,4.36,2.0063
905.0,[*]CC(S1)=CC=C1C(=S)O[*],-5.82,2.9654,2.676,3.4527,6.4155,,4.71,2.0221
906.0,[*]CC(S1)=CC=C1C(C=C2)=CC=C2C(=S)[*],-6.05,2.9754,1.9959,2.7134,5.6896,,4.8,2.0986
907.0,[*]CC(S1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3[*],-6.12,1.9244,2.512,3.3769,5.2326,,3.91,1.9468
908.0,[*]CC(S1)=CC=C1C(C=C2)=CC=C2O[*],-6.09,1.4385,2.9246,4.0623,5.4992,,4.05,1.9368
909.0,[*]CC(S1)=CC=C1C(S2)=CC=C2C(=S)[*],-5.95,3.2587,1.7203,2.5023,5.7652,,5.34,2.1956
910.0,[*]CC(S1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],-6.03,2.0787,2.1001,3.0602,5.1385,,4.39,2.0574
911.0,[*]CC(S1)=CC=C1C(S2)=CC=C2O[*],-5.95,1.7705,2.9968,3.4793,5.2494,,4.19,1.9533
912.0,[*]CC(S1)=CC=C1CC(=S)[*],-5.65,2.588,2.5553,3.2956,5.8858,,3.57,1.8463
913.0,[*]CC(S1)=CC=C1CC(S2)=CC=C2[*],-5.81,1.174,4.1954,4.626,5.797,,3.65,1.8382
914.0,[*]CC(S1)=CC=C1CO[*],-5.68,1.4146,,4.6049,6.0202,,4.0,1.8606
915.0,[*]CC(S1)=CC=C1NC(=S)[*],-5.77,2.0497,2.8469,3.7288,5.7769,,4.42,1.9817
916.0,[*]CC(S1)=CC=C1NC(S2)=CC=C2[*],-5.9,1.1194,3.6624,4.1254,5.2507,,3.83,1.8772
917.0,[*]CC(S1)=CC=C1NO[*],-5.66,1.3873,3.8409,3.7984,5.1816,,4.04,1.8806
918.0,[*]CC(S1)=CC=C1OC(=S)[*],-5.78,2.3956,3.0541,3.7579,6.155,,4.25,1.9478
919.0,[*]CC(S1)=CC=C1OC(S2)=CC=C2[*],-5.92,1.2199,4.26,4.6308,5.8606,,3.63,1.8388
920.0,[*]CC([*])(Br)Br,,,,5.2567,,,,
921.0,[*]CC([*])(C#N)C(=O)OC,,,,6.7385,,,,
922.0,[*]CC([*])(C#N)C(=O)OC(C)C,,,5.8301,6.4883,,,,
923.0,[*]CC([*])(C#N)C(=O)OCC,,,6.1989,6.5171,,,,
924.0,[*]CC([*])(C#N)C(=O)OCC(C)C,,,,6.6162,,,,
925.0,[*]CC([*])(C#N)C(=O)OCCCCCCC,,,,6.3455,,,,
926.0,[*]CC([*])(C)C#N,,,7.1863,7.6319,,8.0,,
927.0,[*]CC([*])(C)C(=O)NCCC,,,,5.7916,,,,
928.0,[*]CC([*])(C)C(=O)NCCCCCCCCCCC(=O)NCCCCCCCCCCC(=O)O,,,,,,12.52,,
929.0,[*]CC([*])(C)C(=O)NCCCCCCCCCCC(=O)NCCCCCCCCCCC(=O)OC,,,,,,10.57,,
930.0,[*]CC([*])(C)C(=O)Nc1cccc(-c2nnc(-c3ccccc3)o2)c1,,,,3.5944,,,,
931.0,[*]CC([*])(C)C(=O)OC,,,,6.5972,,12.63789474,,
932.0,[*]CC([*])(C)C(=O)OC(C(F)(F)F)C(F)(F)F,,,5.3218,6.0312,,,,
933.0,[*]CC([*])(C)C(=O)OC(CC)OCC,,,,6.3891,,,,
934.0,[*]CC([*])(C)C(=O)OC(F)(C(F)(F)F)C(F)(F)F,,,6.1125,6.1534,,,,
935.0,[*]CC([*])(C)C(=O)OC1(C)CCOC(=O)C1,,,5.9976,6.0808,,,,
936.0,[*]CC([*])(C)C(=O)OCC,,,6.2424,6.4148,,,,
937.0,[*]CC([*])(C)C(=O)OCC(=O)N1CCCC1,,,5.3385,5.0881,,,,
938.0,[*]CC([*])(C)C(=O)OCC(=O)N1CCOCC1,,,,5.1555,,,,
939.0,[*]CC([*])(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F,,,,6.3477,,,,
940.0,[*]CC([*])(C)C(=O)OCC(F)(F)C(F)F,,,5.3983,6.3988,,,,
941.0,[*]CC([*])(C)C(=O)OCC(F)(F)F,,,,6.5436,,,,
942.0,[*]CC([*])(C)C(=O)OCC1CCCO1,,,,5.5918,,,,
943.0,[*]CC([*])(C)C(=O)OCCBr,,,,5.9262,,,,
944.0,[*]CC([*])(C)C(=O)OCCC#N,,,6.2508,6.1882,,,,
945.0,[*]CC([*])(C)C(=O)OCCC1CCCCC1,,,6.5993,6.5132,,,,
946.0,[*]CC([*])(C)C(=O)OCCCCCC,,,,6.4509,,,,
947.0,[*]CC([*])(C)C(=O)OCCCCCCCCCCCC,,,,,,3.98,,
948.0,[*]CC([*])(C)C(=O)OCCCCCCCCCCCCCCCC,,,,,,17.37,,
949.0,[*]CC([*])(C)C(=O)OCCCCCCCCCCCCCCCCCC,,,,,,21.64,,
950.0,[*]CC([*])(C)C(=O)OCCCCCn1c2ccccc2c2ccccc21,,,,3.7707,,,,
951.0,[*]CC([*])(C)C(=O)OCCCCn1c2ccccc2c2ccccc21,,,,3.7637,,,,
952.0,[*]CC([*])(C)C(=O)OCCO,,,,6.1908,,,,
953.0,[*]CC([*])(C)C(=O)OCCOC(=O)CCn1ccnc1,,,,4.5949,,,,
954.0,[*]CC([*])(C)C(=O)OCCOCC,,,5.9514,6.2857,,,,
955.0,[*]CC([*])(C)C(=O)OCCOCCO,,,,5.7449,,,,
956.0,[*]CC([*])(C)C(=O)OCC[N+](=O)[O-],,,,4.7247,,,,
957.0,[*]CC([*])(C)C(=O)OCCc1ccccc1,,,4.9946,5.7104,,,,
958.0,[*]CC([*])(C)C(=O)OCc1ccc(Cl)cc1,,,,4.9536,,,,
959.0,[*]CC([*])(C)C(=O)OCc1ccc(Cl)cc1Cl,,,,4.8651,,,,
960.0,[*]CC([*])(C)C(=O)OCc1ccc2c(c1)c1ccccc1n2CC,,,,3.4735,,,,
961.0,[*]CC([*])(C)C(=O)OCc1cccs1,,,,4.9884,,,,
962.0,[*]CC([*])(C)C(=O)Oc1ccc(C(=O)C=Cc2ccc(Cl)cc2)cc1,,,,2.9358,,,,
963.0,[*]CC([*])(C)C(=O)Oc1ccc(N=Nc2ccc(C#N)cc2)cc1,,,,2.5281,,,,
964.0,[*]CC([*])(C)C(=O)Oc1ccc([N+](=O)[O-])c(C)c1,,,,3.9223,,,,
965.0,[*]CC([*])(C)C(=O)Oc1ccc2ccccc2c1,,,,3.6336,,,,
966.0,[*]CC([*])(C)C(=O)Oc1ccccc1,,,4.8118,5.2323,,,,
967.0,[*]CC([*])(C)c1ccc(C)cc1,,,,,,34.09,,
968.0,[*]CC([*])(C)c1ncncn1,,,,4.5942,,,,
969.0,[*]CC([*])(CC(=O)O)C(=O)O,,,,5.8762,,,,
970.0,[*]CC([*])(CF)C(=O)OC,,,,6.854,,,,
971.0,[*]CC([*])(CO)C(=O)OCC,,,,5.8505,,,,
972.0,[*]CC([*])(Cl)C#N,,,5.8652,6.5592,,,,
973.0,[*]CC([*])(Cl)C(=O)OC,,,,5.8077,,,,
974.0,[*]CC([*])(Cl)C(=O)OCC,,,,6.3834,,,,
975.0,[*]CC([*])(Cl)Cl,,,,5.4955,,67.76,,
976.0,[*]CC([*])(F)C#N,,,7.0615,7.7512,,,,
977.0,[*]CC([*])(F)C(=O)OC,,,,6.8022,,,,
978.0,[*]CC([*])(F)C(=O)OCC,,,,6.7238,,,,
979.0,[*]CC([*])(F)C(=O)OCC(Cl)(Cl)Cl,,,,6.1654,,,,
980.0,[*]CC([*])(F)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,,6.7134,,,,
981.0,[*]CC([*])(F)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,,,,6.4283,,,,
982.0,[*]CC([*])(F)C(=O)OCC(F)(F)C(F)(F)C(F)(F)F,,,6.2862,6.7366,,,,
983.0,[*]CC([*])(F)C(=O)OCC(F)(F)C(F)(F)F,,,,6.4706,,,,
984.0,[*]CC([*])(F)C(=O)OCC(F)(F)C(F)F,,,,6.8862,,,,
985.0,[*]CC([*])(F)C(=O)OCCC,,,,6.5259,,,,
986.0,[*]CC([*])(F)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,5.7714,6.6046,,,,
987.0,[*]CC([*])(F)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,,6.6184,,,,
988.0,[*]CC([*])(F)C(C)=O,,,,4.643,,,,
989.0,[*]CC([*])(F)C(F)(F)F,,,,8.6147,,,,
990.0,[*]CC([*])(F)Cl,,,,6.2438,,,,
991.0,[*]CC([*])(F)F,-5.21,1.1415,,7.1498,8.1531,41.3664625,3.37,1.6122
992.0,[*]CC([*])=C,,,,5.3034,,,,
993.0,[*]CC([*])Br,,,,6.0567,,,,
994.0,[*]CC([*])C,-5.14,0.4343,7.6997,6.5196,6.185,44.47,2.61,1.6081
995.0,[*]CC([*])C#N,,,7.4435,7.7741,,,,
996.0,[*]CC([*])C(=O)C(C)(C)C,,,,5.3334,,,,
997.0,[*]CC([*])C(=O)CC,,,,5.6211,,,,
998.0,[*]CC([*])C(=O)N(CCC)CCC,,,,5.3191,,,,
999.0,[*]CC([*])C(=O)N(O)c1ccc(C)cc1,,,,4.2873,,,,
1000.0,[*]CC([*])C(=O)N(O)c1ccc(Cl)cc1,,,,4.1462,,,,
1001.0,[*]CC([*])C(=O)N(O)c1cccc(C)c1,,,,4.1845,,,,
1002.0,[*]CC([*])C(=O)NC,,,,5.4371,,,,
1003.0,[*]CC([*])C(=O)NC(C)CC,,,,5.3154,,,,
1004.0,[*]CC([*])C(=O)NCC,,,,5.2246,,,,
1005.0,[*]CC([*])C(=O)NCC(F)(F)C(F)(F)C(F)(F)F,,,,5.7825,,,,
1006.0,[*]CC([*])C(=O)NCCC,,,,6.0177,,,,
1007.0,[*]CC([*])C(=O)NCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,,5.7478,,,,
1008.0,[*]CC([*])C(=O)NCCCCCCCCCCCC,,,,,,1.76,,
1009.0,[*]CC([*])C(=O)NCCCCCCCCCCCCCC,,,,,,9.79,,
1010.0,[*]CC([*])C(=O)NCCCCCCCCCCCCCCCC,,,,,,16.73,,
1011.0,[*]CC([*])C(=O)NCCCCCCCCCCCCCCCCCC,,,,,,21.61,,
1012.0,[*]CC([*])C(=O)NCCCCCCCCCCCCCCCCCCCCCC,,,,,,35.71,,
1013.0,[*]CC([*])C(=O)NCCO,,,5.7124,4.8564,,,,
1014.0,[*]CC([*])C(=O)NCCc1ccccn1,,,,4.133,,,,
1015.0,[*]CC([*])C(=O)NCO,,,,6.0779,,,,
1016.0,[*]CC([*])C(=O)Nc1ccc2c(c1)C(=O)c1ccccc1C2=O,,,,3.0723,,,,
1017.0,[*]CC([*])C(=O)Nc1ccccc1Cl,,,4.2427,4.5631,,,,
1018.0,[*]CC([*])C(=O)O,,,6.1071,6.7889,,,,
1019.0,[*]CC([*])C(=O)OC(C)C,,,6.455,6.4162,,53.86,,
1020.0,[*]CC([*])C(=O)OC(C)CC(C)C,,,,6.3605,,,,
1021.0,[*]CC([*])C(=O)OC(CC)CC,,,6.2722,6.4889,,,,
1022.0,[*]CC([*])C(=O)OC(OCC)C(F)(F)F,,,,6.3353,,,,
1023.0,[*]CC([*])C(=O)OC1CCCCC1,,,,6.0771,,,,
1024.0,[*]CC([*])C(=O)OCC,,,,6.2551,,,,
1025.0,[*]CC([*])C(=O)OCC(C)C,,,,6.1261,,,,
1026.0,[*]CC([*])C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,5.7185,6.2833,,,,
1027.0,[*]CC([*])C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,6.4578,6.3101,,,,
1028.0,[*]CC([*])C(=O)OCC(F)(F)C(F)(F)C(F)(F)F,,,,6.784,,,,
1029.0,[*]CC([*])C(=O)OCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,6.0236,6.9089,,,,
1030.0,[*]CC([*])C(=O)OCC(F)(F)C(F)(F)OC(F)(F)F,,,,6.5517,,,,
1031.0,[*]CC([*])C(=O)OCC(F)(F)C(F)C(F)(F)F,,,,6.8499,,,,
1032.0,[*]CC([*])C(=O)OCC(F)(F)F,,,,6.7005,,,,
1033.0,[*]CC([*])C(=O)OCC=C,,,,6.066,,,,
1034.0,[*]CC([*])C(=O)OCCC#N,,,,6.4368,,,,
1035.0,[*]CC([*])C(=O)OCCCCC,,,,6.4787,,,,
1036.0,[*]CC([*])C(=O)OCCCCCCCCCCCC,,,,,,17.77,,
1037.0,[*]CC([*])C(=O)OCCCCCCCCCCCCCC,,,,6.5079,,27.01,,
1038.0,[*]CC([*])C(=O)OCCCCCCCCCCCCCCCCCC,,,,,,39.64,,
1039.0,[*]CC([*])C(=O)OCCCCCCCCCCCCCCCCCCCCCC,,,,,,43.74,,
1040.0,[*]CC([*])C(=O)OCCCCCCCCCCCn1c(=O)c2ccc3c4ccc5c(=O)n(C(CCCCCCC)CCCCCCC)c(=O)c6ccc(c7ccc(c1=O)c2c37)c4c56,,,,,,6.12,,
1041.0,[*]CC([*])C(=O)OCCCCCCSCC#N,,,,5.2126,,,,
1042.0,[*]CC([*])C(=O)OCCCCSC,,,5.1007,4.571,,,,
1043.0,[*]CC([*])C(=O)OCCCOC,,,,5.8538,,,,
1044.0,[*]CC([*])C(=O)OCCCOc1ccc(-c2ccc(C#N)cc2)cc1,,,,3.6528,,,,
1045.0,[*]CC([*])C(=O)OCCCSCC,,,5.1212,4.5768,,,,
1046.0,[*]CC([*])C(=O)OCCCSCCC#N,,,,5.408,,,,
1047.0,[*]CC([*])C(=O)OCCO,,,,6.417,,,,
1048.0,[*]CC([*])C(=O)OCCOCC1(CC)COC1,,,,5.6941,,,,
1049.0,[*]CC([*])C(=O)OCCSCC#N,,,,5.2595,,,,
1050.0,[*]CC([*])C(=O)OCCSCCCC#N,,,5.1226,,,,,
1051.0,[*]CC([*])C(=O)OCF,,,6.1736,6.4866,,,,
1052.0,[*]CC([*])C(=O)Oc1ccc(C#N)cc1,,,,4.6366,,,,
1053.0,[*]CC([*])C(=O)Oc1ccc(C(C)=NNC(N)=O)c(O)c1,,,,3.6909,,,,
1054.0,[*]CC([*])C(=O)Oc1ccc(Cl)cc1,,,,2.4559,,,,
1055.0,[*]CC([*])C(=O)Oc1ccc(OC)cc1,,,,4.4447,,,,
1056.0,[*]CC([*])C(=O)Oc1cccc(C)c1,,,,4.8262,,,,
1057.0,[*]CC([*])C(=O)c1ccc(Br)c(OC)c1,,,,3.8338,,,,
1058.0,[*]CC([*])C(=O)c1ccc(Br)cc1,,,,1.5897,,,,
1059.0,[*]CC([*])C(=O)c1ccc(CC)cc1,,,3.9853,4.27,,,,
1060.0,[*]CC([*])C(=O)c1ccccc1O,,,,1.7298,,,,
1061.0,[*]CC([*])C(=O)n1sc2ccccc2c1=O,,,,1.2252,,,,
1062.0,[*]CC([*])C(F)(F)C(F)(F)C(F)(F)F,,,,8.6189,,,,
1063.0,[*]CC([*])C(F)(F)F,,,,8.2263,,,,
1064.0,[*]CC([*])C(N)=O,,,6.3764,6.3386,,,,
1065.0,[*]CC([*])C1CCCCC1C,,,,6.4889,,,,
1066.0,[*]CC([*])CC,,,7.9012,6.517,,34.04,,
1067.0,[*]CC([*])CC(C)C,,,,6.7394,,21.64,,
1068.0,[*]CC([*])CCC,,,7.2705,6.7336,,20.01,,
1069.0,[*]CC([*])CCCC1CCCCC1,,,7.5725,6.3703,,,,
1070.0,[*]CC([*])CCCCCC,,,,,,75.06,,
1071.0,[*]CC([*])CCc1ccc(C)cc1,,,4.5772,5.1686,,,,
1072.0,[*]CC([*])CN,,,,5.4738,,,,
1073.0,[*]CC([*])CO,,,7.4192,6.2929,,,,
1074.0,[*]CC([*])Cl,,,,7.0905,,,,
1075.0,[*]CC([*])Cn1cc2ccccc2n1,,,,3.9074,,,,
1076.0,[*]CC([*])F,-5.18,0.874,8.3099,7.6225,7.6332,,3.36,1.6305
1077.0,[*]CC([*])N,,,,5.222,,,,
1078.0,[*]CC([*])N1CCCC1=O,,,5.5902,5.4797,,,,
1079.0,[*]CC([*])N1CCCC1=S,,,,4.1333,,,,
1080.0,[*]CC([*])O,,,7.5488,6.3648,,39.089205,,
1081.0,[*]CC([*])OC,,,,5.5335,,,,
1082.0,[*]CC([*])OC(=O)C(C)(C)C,,,,6.1579,,,,
1083.0,[*]CC([*])OC(=O)C(Cl)(Cl)Cl,,,,5.7645,,,,
1084.0,[*]CC([*])OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,,6.4713,,,,
1085.0,[*]CC([*])OC(=O)C(F)(F)C(F)(F)C(F)(F)F,,,6.0228,6.4207,,,,
1086.0,[*]CC([*])OC(=O)C(F)(F)C(F)(F)F,,,,6.6309,,,,
1087.0,[*]CC([*])OC(=O)C(F)(F)F,,,,6.7842,,,,
1088.0,[*]CC([*])OC(=O)CC,,,,6.5454,,,,
1089.0,[*]CC([*])OC(=O)CC1CCCC1,,,6.4741,6.5327,,,,
1090.0,[*]CC([*])OC(=O)CCC,,,,6.8545,,,,
1091.0,[*]CC([*])OC(=O)CCC#N,,,,6.425,,,,
1092.0,[*]CC([*])OC(=O)CCCCC,,,,6.3448,,,,
1093.0,[*]CC([*])OC(=O)CCCCCCCCCCC,,,,,,12.02,,
1094.0,[*]CC([*])OC(=O)CCCCCCCCCCCCCCC,,,,,,33.35,,
1095.0,[*]CC([*])OC(=O)CCCCCCCCCCCCCCCCC,,,,,,37.02,,
1096.0,[*]CC([*])OC(=O)OCC(Cl)(Cl)Cl,,,,6.5923,,,,
1097.0,[*]CC([*])OC(=O)OCC(F)(F)F,,,7.9003,7.5359,,,,
1098.0,[*]CC([*])OC(=O)c1ccc(OC(C)=O)cc1,,,,4.6237,,,,
1099.0,[*]CC([*])OC(=O)c1ccc(OC)cc1,,,,4.435,,,,
1100.0,[*]CC([*])OC(=O)c1cccc(Br)c1,,,,4.2289,,,,
